Representation 
 
-	Orang tua
Orang tua laki ( Desi, Hadi )
Paman ( Hamzah, Ardi)
Paman ( Hamzah, Bayu)
Paman ( Eka, Bayu)
Paman ( Mira, Bayu)
Paman ( Bastian, Bayu)
Paman ( Eka, Wahyu)
Paman ( Mira, Wahyu)
Paman ( Bastian, Wahyu)
Paman ( Wanda, Yanto )
Paman ( Wanda, Hamzah )
Paman ( Wanda, Bastian )
Paman ( Aji, Ridho )
Paman ( Aji, Yanto )
Paman ( Aji, Hamzah )
Paman ( Aji, Bastian )
Paman ( Gunawan, Ridho)
Paman ( Gunawan, Yanto )
Paman ( Gunawan, Hamzah )
Paman ( Gunawan, Bastian )
Paman ( Anggun, Bastian )
Paman ( Anggun, Hamzah )
Paman ( Anggun, Yanto )
Paman ( Anggun, Ridho)
Paman ( Boy, Bastian )
Paman ( Boy, Hamzah )
Paman ( Boy, Yanto )
Paman ( Boy, Ridho)
-	Bibi
Bibi  ( Tari, Rina)
Bibi  ( Tari, Ana )
Bibi  ( Ridho, Rina)
Bibi  ( Ridho, Ana )
Bibi  ( Nurul, Rina)
Bibi  ( Nurul, Ana )
Bibi  ( Yanto, Rina)
Bibi  ( Yanto, Ana )
Bibi  ( Hamzah, Desi )
Bibi  ( Hamzah, Ana)
Bibi  ( Eka, Desi )
Bibi  ( Eka, Rina)
Bibi  ( Mira, Desi )
Bibi  ( Mira, Rina)
Bibi  ( Bastian, Desi )
Bibi  ( Bastian, Rina )
Bibi  ( Wanda, Nurul )
Bibi  ( Wanda, Eka )
Bibi  ( Wanda, Mira )
Bibi  ( Aji, Tari )
Bibi  ( Aji, Eka )
Bibi  ( Aji, Mira )
Bibi  ( Gunawan, Mira )
Bibi  ( Gunawan, Tari )
Bibi  ( Gunawan, Eka )
Bibi  ( Anggun, Tari )
Bibi  ( Anggun, Nurul )
Bibi  ( Anggun, Eka )
Bibi  ( Boy, Tari )
Bibi  ( Boy, Nurul )
Bibi  ( Boy, Eka )
-	Kakek
Kakek ( Tari, Hadi )
Kakek ( Ridho, Hadi )
Kakek ( Nurul, Hadi )
Kakek ( Yanto, Hadi )
Kakek ( Hamzah, Hadi )
Kakek ( Eka, Hadi )
Kakek ( Mira, Hadi )
Kakek ( Bastian, Hadi )
Kakek ( Wanda, Bayu )
Kakek ( Aji, Bayu )
Kakek ( Gunawan, Bayu )
Kakek ( Anggun, Ardi )
Kakek ( Boy, Ardi )
-	Nenek
Nenek ( Tari, Retno )
Nenek ( Ridho, Retno )
Nenek ( Nurul, Retno )
Nenek ( Yanto, Retno )
Nenek ( Hamzah, Retno )
Nenek ( Eka, Retno )
Nenek ( Mira, Retno )
Nenek ( Bastian, Retno )
Nenek ( Wanda, Desi )
Nenek ( Aji, Desi )
Nenek ( Gunawan, Desi )
Nenek ( Anggun, Ana )
Nenek ( Boy, Ana)
-	Sepupu
Sepupu ( Aji, Wanda )
Sepupu ( Gunawan, Wanda )
Sepupu ( Anggun, Wanda )
Sepupu ( Boy, Wanda )
Sepupu ( Anggun, Gunawan )
Sepupu ( Boy, Gunawan )
Sepupu ( Wanda, Gunawan )
Sepupu ( Wanda, Aji )
Sepupu ( Anggun, Aji )
Sepupu ( Boy, Aji )
Sepupu ( Aji, Anggun )
Sepupu ( Gunawan, Anggun )
Sepupu ( Wanda, Anggun )
Sepupu ( Aji, Boy )
Sepupu ( Gunawan, Boy )
Sepupu ( Wanda, Boy )
Sepupu ( Hamzah, Tari )
Sepupu ( Eka, Tari )
Sepupu ( Mira, Tari )
Sepupu ( Bastian, Tari )
Sepupu ( Hamzah, Nurul )
Sepupu ( Eka, Nurul )
Sepupu ( Mira, Nurul )
Sepupu ( Bastian, Nurul )
Sepupu ( Hamzah, Yanto )
Sepupu ( Eka, Yanto )
Sepupu ( Mira, Yanto )
Sepupu ( Bastian, Yanto )
Sepupu ( Tari, Hamzah )
Sepupu ( Nurul, Hamzah )
Sepupu ( Yanto, Hamzah )
Sepupu ( Eka, Hamzah )
Sepupu ( Mira, Hamzah )
Sepupu ( Bastian, Hamzah )
Sepupu ( Hamzah, Eka )
Sepupu ( Yanto, Eka )
Sepupu ( Nurul, Eka )
Sepupu ( Tari, Eka )
Sepupu ( Hamzah, Mira )
Sepupu ( Yanto, Mira )
Sepupu ( Nurul, Mira )
Sepupu ( Tari, Mira )
Sepupu ( Hamzah, Bastian )
Sepupu ( Yanto, Bastian )
Sepupu ( Nurul, Bastian )
Sepupu ( Tari, Bastian )






























